buyer_id;gender;age;age_group;employment_status;housing_status;country;brand;sneaker_price_usd;purchase_channel;purchase_season;reason_for_purchase;discount_used;comfort_rating;durability_rating;repurchase_intent
33;Female;36;Adult;Employed;Home Owner;Italy;Vans;318;Retail Store;Summer;Comfort;No;3;5;No
34;Female;62;Adult;Unemployed;Home Owner;France;New Balance;436;Retail Store;Spring;Fashion;No;1;5;Yes
35;Female;32;Senior;Self-employed;Home Owner;France;Crocs;99;Online;Summer;Comfort;Yes;2;5;Yes
36;Male;28;Adult;Unemployed;Renter;USA;New Balance;322;Retail Store;Spring;Fashion;No;1;3;Yes
37;Female;62;Adult;Unemployed;Renter;Nigeria;Vans;158;Online;Autumn;Sports;No;1;4;Yes
38;Male;64;Youth;Student;Renter;Japan;ASICS;345;Retail Store;Summer;Sports;Yes;1;5;Yes
39;Male;24;Adult;Self-employed;Home Owner;China;Balenciaga;307;Retail Store;Summer;Work;Yes;3;1;No
40;Male;25;Adult;Employed;Renter;France;Vans;177;Retail Store;Spring;Work;No;1;1;No
41;Male;57;Adult;Self-employed;Renter;USA;Adidas;88;Online;Winter;Fashion;Yes;2;4;No
42;Male;54;Adult;Student;Home Owner;Japan;ASICS;269;Retail Store;Winter;Fashion;Yes;2;2;No
43;Female;51;Adult;Unemployed;Homeless;Nigeria;Vans;259;Retail Store;Summer;Fashion;No;2;2;Yes
44;Female;37;Youth;Self-employed;Home Owner;Italy;New Balance;402;Online;Autumn;Work;Yes;1;5;No
45;Female;58;Youth;Student;Renter;Italy;ASICS;74;Online;Autumn;Comfort;No;4;1;No
46;Female;44;Adult;Unemployed;Home Owner;UK;Crocs;221;Online;Winter;Comfort;No;1;4;Yes
47;Female;36;Adult;Employed;Renter;USA;New Balance;159;Retail Store;Summer;Work;No;4;2;Yes
48;Male;60;Youth;Self-employed;Renter;Canada;Under Armour;315;Retail Store;Winter;Sports;Yes;1;5;Yes
49;Female;59;Youth;Employed;Home Owner;Italy;Balenciaga;307;Retail Store;Spring;Fashion;Yes;2;5;No
50;Female;56;Youth;Employed;Homeless;Germany;Adidas;298;Online;Autumn;Fashion;No;4;4;Yes
51;Male;21;Adult;Student;Home Owner;Nigeria;Crocs;297;Online;Winter;Work;No;2;1;No
52;Female;52;Youth;Student;Home Owner;Germany;Crocs;317;Retail Store;Summer;Fashion;Yes;1;2;No
53;Male;62;Youth;Unemployed;Renter;Nigeria;Nike;330;Online;Winter;Comfort;Yes;3;2;Yes
54;Female;35;Adult;Employed;Home Owner;Nigeria;Under Armour;276;Online;Summer;Fashion;No;4;1;Yes
55;Male;62;Adult;Student;Home Owner;India;Adidas;283;Online;Winter;Comfort;No;1;1;Yes
56;Female;25;Adult;Student;Renter;Brazil;ASICS;48;Retail Store;Winter;Work;No;2;5;No
57;Female;44;Adult;Employed;Renter;USA;Puma;382;Online;Autumn;Sports;No;5;1;Yes
58;Male;62;Adult;Unemployed;Homeless;Canada;Under Armour;293;Retail Store;Winter;Fashion;No;3;3;No
59;Male;27;Adult;Employed;Renter;China;Nike;312;Retail Store;Spring;Work;No;5;4;Yes
60;Male;48;Senior;Unemployed;Renter;India;Under Armour;181;Retail Store;Winter;Fashion;No;5;4;Yes
61;Male;61;Youth;Unemployed;Renter;UK;Crocs;283;Online;Summer;Comfort;No;3;1;Yes
62;Male;17;Adult;Student;Home Owner;India;Vans;143;Online;Summer;Fashion;Yes;2;4;Yes
63;Male;34;Adult;Employed;Home Owner;Nigeria;Adidas;225;Retail Store;Spring;Work;No;5;5;Yes
64;Male;28;Youth;Employed;Renter;Germany;Vans;75;Retail Store;Spring;Work;Yes;5;2;Yes
65;Male;53;Adult;Student;Home Owner;Brazil;Adidas;200;Online;Summer;Comfort;Yes;1;2;No
66;Female;22;Adult;Self-employed;Home Owner;Canada;Under Armour;103;Retail Store;Winter;Fashion;No;3;4;Yes
67;Female;36;Adult;Self-employed;Renter;Brazil;ASICS;180;Online;Spring;Sports;Yes;4;1;Yes
68;Male;30;Adult;Employed;Homeless;Brazil;Adidas;201;Online;Winter;Work;Yes;5;4;No
69;Female;61;Youth;Student;Home Owner;Canada;Balenciaga;428;Online;Spring;Fashion;Yes;1;3;Yes
70;Female;30;Adult;Unemployed;Home Owner;USA;Under Armour;172;Online;Winter;Comfort;No;3;5;Yes
71;Female;19;Adult;Unemployed;Home Owner;Japan;ASICS;150;Online;Spring;Work;No;4;4;Yes
72;Female;16;Adult;Employed;Home Owner;Japan;Balenciaga;239;Retail Store;Summer;Fashion;No;4;5;Yes
73;Male;38;Adult;Student;Home Owner;Japan;Crocs;313;Retail Store;Winter;Comfort;No;5;1;No
74;Female;17;Youth;Employed;Renter;Brazil;New Balance;128;Retail Store;Spring;Fashion;No;2;1;Yes
75;Male;67;Adult;Employed;Home Owner;Italy;Puma;57;Online;Winter;Comfort;No;3;5;Yes
76;Female;28;Senior;Student;Home Owner;UK;Nike;449;Retail Store;Autumn;Fashion;Yes;1;4;No
77;Female;47;Youth;Employed;Renter;UK;New Balance;379;Retail Store;Autumn;Sports;No;3;1;Yes
78;Female;38;Adult;Unemployed;Renter;UK;Crocs;315;Online;Spring;Fashion;Yes;1;3;Yes
79;Male;30;Adult;Self-employed;Home Owner;India;Puma;398;Retail Store;Autumn;Comfort;Yes;5;3;No
80;Female;41;Adult;Unemployed;Home Owner;Italy;ASICS;399;Online;Spring;Sports;Yes;3;5;Yes
81;Male;35;Youth;Self-employed;Home Owner;Germany;Crocs;420;Online;Spring;Sports;Yes;5;3;Yes
82;Female;65;Adult;Student;Homeless;Nigeria;New Balance;379;Online;Autumn;Work;No;2;5;No
83;Male;26;Adult;Employed;Home Owner;India;Adidas;404;Online;Summer;Work;No;1;4;No
84;Female;27;Senior;Self-employed;Renter;China;Crocs;299;Online;Spring;Work;Yes;2;2;No
85;Male;61;Youth;Student;Renter;India;ASICS;61;Retail Store;Spring;Comfort;Yes;1;1;Yes
86;Male;45;Senior;Student;Home Owner;India;Under Armour;422;Retail Store;Autumn;Comfort;No;2;1;No
87;Female;37;Adult;Student;Home Owner;China;New Balance;256;Online;Winter;Fashion;No;3;4;Yes
88;Male;33;Youth;Unemployed;Renter;Japan;Under Armour;380;Online;Autumn;Sports;No;1;4;Yes
89;Female;29;Adult;Unemployed;Home Owner;China;Puma;240;Online;Spring;Comfort;Yes;5;4;Yes
90;Female;35;Adult;Self-employed;Home Owner;France;Balenciaga;304;Retail Store;Winter;Fashion;No;1;1;Yes
91;Female;69;Youth;Self-employed;Home Owner;Italy;Adidas;226;Online;Winter;Fashion;No;4;5;Yes
92;Female;55;Adult;Unemployed;Home Owner;USA;Puma;328;Online;Autumn;Comfort;Yes;1;3;Yes
93;Female;29;Senior;Self-employed;Home Owner;China;ASICS;400;Online;Winter;Sports;No;1;1;Yes
94;Female;26;Senior;Self-employed;Homeless;Japan;Balenciaga;302;Online;Summer;Comfort;Yes;4;2;Yes
95;Female;41;Adult;Employed;Home Owner;Nigeria;Puma;105;Online;Summer;Fashion;Yes;2;5;Yes
96;Female;32;Youth;Self-employed;Renter;UK;Vans;136;Retail Store;Summer;Comfort;No;2;4;Yes
97;Female;42;Adult;Student;Home Owner;Canada;ASICS;330;Retail Store;Spring;Work;No;1;2;No
98;Female;31;Adult;Employed;Home Owner;France;Crocs;132;Retail Store;Autumn;Fashion;No;2;3;Yes
99;Female;65;Youth;Self-employed;Home Owner;France;Balenciaga;199;Retail Store;Autumn;Comfort;No;4;3;Yes
100;Male;51;Senior;Employed;Homeless;India;Vans;296;Online;Spring;Comfort;Yes;5;1;Yes
101;Male;68;Youth;Student;Home Owner;USA;Puma;156;Retail Store;Spring;Sports;No;2;5;Yes
102;Female;25;Adult;Self-employed;Renter;Nigeria;Balenciaga;390;Retail Store;Autumn;Sports;No;1;2;Yes
103;Female;30;Adult;Employed;Home Owner;UK;Vans;219;Online;Spring;Work;No;5;4;No
104;Female;35;Adult;Self-employed;Renter;Nigeria;ASICS;74;Online;Autumn;Fashion;Yes;5;4;Yes
105;Female;58;Youth;Employed;Home Owner;Canada;Vans;335;Online;Winter;Work;Yes;5;2;No
106;Female;45;Adult;Employed;Home Owner;Germany;New Balance;334;Retail Store;Winter;Work;No;1;1;Yes
107;Female;51;Senior;Student;Renter;France;Crocs;59;Retail Store;Winter;Work;No;5;2;Yes
108;Female;52;Adult;Student;Home Owner;UK;ASICS;392;Online;Autumn;Sports;No;4;5;Yes
109;Female;30;Adult;Self-employed;Home Owner;Canada;ASICS;254;Retail Store;Spring;Comfort;No;5;4;Yes
110;Male;21;Youth;Unemployed;Home Owner;India;Nike;426;Retail Store;Spring;Work;No;4;4;Yes
111;Female;45;Senior;Self-employed;Renter;Italy;Crocs;92;Online;Spring;Sports;No;1;2;No
112;Male;44;Senior;Employed;Home Owner;China;Balenciaga;179;Online;Spring;Comfort;No;1;1;Yes
113;Female;66;Adult;Student;Home Owner;Italy;Under Armour;175;Online;Spring;Comfort;Yes;1;1;Yes
114;Female;29;Adult;Student;Renter;India;New Balance;208;Online;Spring;Fashion;Yes;5;3;Yes
115;Male;31;Senior;Employed;Home Owner;Brazil;Balenciaga;406;Online;Autumn;Sports;No;2;3;Yes
116;Female;39;Youth;Unemployed;Home Owner;USA;ASICS;161;Retail Store;Summer;Work;Yes;2;2;No
117;Male;18;Adult;Student;Renter;UK;Vans;178;Retail Store;Spring;Fashion;No;5;2;Yes
118;Female;47;Adult;Unemployed;Renter;Canada;Balenciaga;65;Retail Store;Autumn;Comfort;No;3;4;Yes
119;Female;68;Adult;Student;Home Owner;Germany;Adidas;254;Retail Store;Autumn;Work;No;3;4;Yes
120;Male;49;Adult;Employed;Renter;Nigeria;Puma;77;Retail Store;Autumn;Work;Yes;4;2;Yes
121;Female;46;Adult;Self-employed;Home Owner;USA;ASICS;172;Online;Autumn;Comfort;No;2;3;No
122;Male;32;Youth;Self-employed;Home Owner;Brazil;Puma;327;Retail Store;Spring;Fashion;No;5;1;Yes
123;Female;37;Adult;Unemployed;Home Owner;UK;Nike;236;Retail Store;Winter;Fashion;Yes;1;4;Yes
124;Male;16;Adult;Self-employed;Home Owner;USA;Nike;151;Retail Store;Winter;Fashion;No;2;4;No
125;Male;22;Adult;Employed;Home Owner;UK;ASICS;182;Online;Autumn;Comfort;No;5;3;Yes
126;Female;22;Adult;Self-employed;Renter;Brazil;Vans;402;Retail Store;Summer;Sports;Yes;3;3;Yes
127;Female;36;Youth;Unemployed;Home Owner;Japan;Vans;347;Retail Store;Spring;Comfort;No;3;1;Yes
128;Male;33;Adult;Employed;Home Owner;Italy;Nike;408;Retail Store;Summer;Comfort;Yes;3;1;No
129;Female;23;Senior;Employed;Home Owner;India;Balenciaga;421;Retail Store;Winter;Work;No;4;4;No
130;Female;39;Senior;Student;Home Owner;Germany;Puma;67;Retail Store;Summer;Comfort;Yes;5;2;Yes
131;Female;28;Senior;Student;Home Owner;Brazil;Balenciaga;186;Retail Store;Autumn;Comfort;No;5;5;No
132;Male;38;Adult;Self-employed;Home Owner;France;Vans;349;Online;Summer;Sports;No;1;3;No
133;Male;42;Youth;Unemployed;Home Owner;Canada;Puma;417;Online;Spring;Comfort;No;5;2;Yes
134;Male;61;Senior;Employed;Renter;Japan;Balenciaga;120;Online;Autumn;Work;Yes;1;5;Yes
135;Male;28;Adult;Self-employed;Home Owner;Japan;Balenciaga;54;Retail Store;Spring;Fashion;No;3;5;Yes
136;Male;19;Adult;Self-employed;Renter;Brazil;Under Armour;308;Online;Winter;Work;No;2;4;Yes
137;Male;28;Adult;Student;Homeless;Germany;New Balance;254;Online;Winter;Sports;No;3;3;Yes
138;Male;47;Adult;Self-employed;Home Owner;Germany;Under Armour;62;Retail Store;Spring;Work;No;5;5;Yes
139;Male;28;Adult;Self-employed;Home Owner;USA;Adidas;375;Online;Summer;Fashion;Yes;1;2;Yes
140;Male;52;Youth;Student;Home Owner;Brazil;Vans;229;Online;Summer;Fashion;No;3;3;No
141;Female;24;Adult;Self-employed;Home Owner;UK;Puma;320;Retail Store;Spring;Comfort;No;5;5;No
142;Male;47;Youth;Self-employed;Renter;Canada;Crocs;199;Retail Store;Autumn;Work;Yes;5;5;Yes
143;Female;61;Senior;Employed;Home Owner;China;Under Armour;188;Online;Spring;Work;No;1;2;Yes
144;Female;33;Adult;Self-employed;Home Owner;Canada;Puma;424;Online;Summer;Work;Yes;4;4;Yes
145;Female;62;Adult;Student;Home Owner;Canada;Adidas;323;Retail Store;Winter;Sports;No;2;1;Yes
146;Male;55;Senior;Student;Home Owner;France;ASICS;130;Retail Store;Winter;Comfort;Yes;4;4;Yes
147;Male;48;Adult;Employed;Home Owner;Canada;New Balance;155;Online;Spring;Sports;No;3;4;Yes
148;Male;60;Adult;Student;Home Owner;Japan;New Balance;258;Online;Summer;Sports;Yes;4;1;No
149;Male;29;Adult;Student;Home Owner;China;Balenciaga;179;Retail Store;Winter;Fashion;Yes;1;3;No
150;Female;44;Adult;Student;Home Owner;Brazil;Nike;59;Online;Spring;Sports;Yes;2;5;Yes
151;Male;53;Senior;Self-employed;Home Owner;India;Under Armour;403;Retail Store;Summer;Fashion;Yes;4;3;Yes
152;Male;18;Adult;Employed;Renter;Canada;ASICS;378;Online;Spring;Work;No;4;1;No
153;Male;36;Senior;Unemployed;Home Owner;Nigeria;Vans;346;Retail Store;Winter;Comfort;No;2;1;Yes
154;Male;39;Youth;Employed;Home Owner;Italy;Vans;449;Retail Store;Summer;Fashion;No;3;4;Yes
155;Male;32;Adult;Employed;Home Owner;Japan;Vans;124;Retail Store;Autumn;Fashion;Yes;1;3;No
156;Female;37;Youth;Employed;Renter;Japan;Balenciaga;140;Online;Winter;Sports;Yes;2;5;Yes
157;Male;14;Adult;Unemployed;Home Owner;Canada;ASICS;241;Online;Autumn;Work;Yes;3;2;No
158;Female;21;Youth;Unemployed;Home Owner;Japan;ASICS;449;Online;Winter;Sports;No;2;4;Yes
159;Male;40;Youth;Student;Home Owner;UK;Balenciaga;372;Retail Store;Autumn;Fashion;No;1;3;Yes
160;Female;65;Adult;Self-employed;Homeless;Italy;Puma;64;Online;Autumn;Comfort;No;1;4;No
161;Male;50;Adult;Student;Renter;Brazil;Vans;410;Retail Store;Spring;Work;Yes;4;1;Yes
162;Male;15;Adult;Student;Home Owner;Nigeria;Balenciaga;70;Online;Spring;Work;No;4;2;No
163;Female;32;Adult;Unemployed;Home Owner;Nigeria;Under Armour;246;Online;Summer;Fashion;No;5;1;No
164;Female;18;Adult;Student;Home Owner;USA;Under Armour;441;Online;Spring;Comfort;No;5;4;Yes
165;Female;51;Adult;Student;Home Owner;UK;Nike;207;Online;Spring;Comfort;Yes;4;5;No
166;Male;45;Senior;Unemployed;Renter;Germany;Balenciaga;382;Retail Store;Summer;Sports;Yes;1;3;Yes
167;Female;67;Adult;Employed;Renter;Canada;Adidas;106;Retail Store;Spring;Comfort;No;3;3;Yes
168;Male;13;Adult;Employed;Home Owner;Japan;ASICS;230;Retail Store;Winter;Fashion;Yes;4;5;No
169;Male;49;Adult;Unemployed;Renter;Nigeria;Vans;50;Online;Autumn;Sports;No;5;3;Yes
170;Female;18;Youth;Self-employed;Home Owner;Italy;Puma;204;Retail Store;Autumn;Work;No;1;2;No
171;Female;57;Senior;Student;Home Owner;India;Vans;179;Online;Spring;Sports;No;2;5;Yes
172;Male;46;Youth;Employed;Home Owner;Japan;New Balance;301;Online;Spring;Sports;Yes;4;4;Yes
173;Male;59;Senior;Unemployed;Home Owner;Canada;Balenciaga;365;Retail Store;Summer;Comfort;No;4;4;No
174;Female;27;Adult;Self-employed;Home Owner;India;Puma;252;Retail Store;Spring;Fashion;Yes;3;2;Yes
175;Female;57;Senior;Student;Home Owner;China;Puma;384;Retail Store;Winter;Work;No;1;3;No
176;Female;38;Adult;Unemployed;Home Owner;China;Puma;86;Retail Store;Autumn;Fashion;Yes;3;1;Yes
177;Male;69;Adult;Unemployed;Home Owner;Germany;Under Armour;75;Online;Summer;Sports;No;2;4;Yes
178;Male;26;Adult;Unemployed;Renter;China;Puma;121;Retail Store;Summer;Comfort;Yes;1;5;Yes
179;Male;66;Adult;Student;Homeless;Brazil;Adidas;83;Online;Summer;Fashion;No;3;3;Yes
180;Male;19;Adult;Employed;Home Owner;India;Under Armour;270;Online;Spring;Work;No;2;5;Yes
181;Male;58;Adult;Student;Renter;UK;ASICS;446;Online;Spring;Comfort;No;2;3;Yes
182;Male;43;Adult;Student;Renter;France;Vans;446;Online;Spring;Work;No;4;4;Yes
183;Female;36;Adult;Employed;Renter;UK;Puma;126;Online;Summer;Work;No;1;5;Yes
184;Male;43;Youth;Unemployed;Home Owner;Canada;Under Armour;74;Retail Store;Summer;Sports;No;2;5;Yes
185;Male;41;Adult;Self-employed;Home Owner;France;New Balance;388;Online;Autumn;Fashion;No;3;2;No
186;Male;54;Adult;Self-employed;Home Owner;Nigeria;Crocs;356;Retail Store;Autumn;Fashion;Yes;1;3;No
187;Female;44;Adult;Employed;Home Owner;Brazil;Balenciaga;248;Retail Store;Spring;Work;No;2;4;Yes
188;Male;29;Senior;Employed;Home Owner;Nigeria;Puma;205;Online;Spring;Comfort;No;4;2;Yes
189;Male;26;Adult;Unemployed;Renter;France;New Balance;219;Retail Store;Autumn;Comfort;No;5;2;Yes
190;Female;52;Adult;Self-employed;Home Owner;Nigeria;New Balance;41;Retail Store;Winter;Sports;Yes;5;1;Yes
191;Male;48;Adult;Self-employed;Home Owner;USA;Vans;442;Online;Autumn;Sports;No;5;4;Yes
192;Male;60;Senior;Unemployed;Home Owner;Nigeria;Puma;406;Retail Store;Spring;Fashion;No;2;1;Yes
193;Male;36;Youth;Employed;Home Owner;China;Adidas;234;Online;Spring;Work;Yes;2;3;No
194;Male;57;Adult;Employed;Renter;Japan;Crocs;392;Retail Store;Spring;Fashion;Yes;3;2;Yes
195;Male;66;Adult;Unemployed;Renter;China;Balenciaga;62;Retail Store;Spring;Sports;No;5;4;Yes
196;Female;39;Youth;Employed;Renter;Brazil;Vans;65;Retail Store;Autumn;Fashion;Yes;5;5;Yes
197;Female;37;Youth;Student;Home Owner;France;New Balance;69;Retail Store;Spring;Work;No;1;2;Yes
198;Female;44;Adult;Employed;Home Owner;India;Balenciaga;314;Online;Spring;Fashion;No;1;4;No
199;Male;64;Adult;Student;Renter;Nigeria;New Balance;206;Retail Store;Autumn;Work;Yes;2;2;Yes
200;Male;30;Senior;Self-employed;Home Owner;Nigeria;New Balance;129;Retail Store;Winter;Comfort;No;2;3;Yes
201;Male;58;Adult;Self-employed;Home Owner;France;Nike;263;Online;Autumn;Fashion;Yes;4;4;No
202;Female;30;Adult;Employed;Home Owner;Brazil;New Balance;145;Online;Spring;Comfort;No;5;3;Yes
203;Male;49;Youth;Unemployed;Homeless;Italy;Vans;67;Retail Store;Spring;Sports;Yes;5;4;Yes
204;Male;38;Adult;Employed;Renter;USA;Under Armour;166;Retail Store;Summer;Sports;Yes;2;3;Yes
205;Female;21;Adult;Unemployed;Home Owner;Canada;Nike;100;Online;Spring;Work;No;3;1;No
206;Male;47;Adult;Self-employed;Home Owner;Brazil;ASICS;215;Online;Winter;Sports;Yes;1;4;Yes
207;Female;20;Youth;Self-employed;Renter;Nigeria;Vans;134;Online;Spring;Comfort;No;5;3;No
208;Female;32;Adult;Self-employed;Home Owner;Canada;Puma;135;Online;Autumn;Work;Yes;3;4;No
209;Female;66;Senior;Unemployed;Home Owner;Canada;ASICS;180;Retail Store;Spring;Work;Yes;1;5;No
210;Male;54;Adult;Unemployed;Home Owner;France;New Balance;125;Online;Spring;Work;Yes;4;5;No
211;Male;34;Adult;Self-employed;Home Owner;France;Puma;162;Online;Summer;Sports;No;2;3;Yes
212;Male;31;Adult;Employed;Home Owner;USA;ASICS;434;Retail Store;Spring;Work;Yes;3;5;Yes
213;Male;42;Youth;Unemployed;Home Owner;UK;Balenciaga;392;Online;Spring;Work;No;1;3;Yes
214;Male;65;Youth;Student;Homeless;Germany;Adidas;255;Online;Autumn;Comfort;No;2;5;Yes
215;Male;40;Adult;Self-employed;Home Owner;Italy;Under Armour;147;Retail Store;Winter;Work;No;2;2;Yes
216;Male;47;Adult;Unemployed;Home Owner;Japan;Adidas;218;Online;Summer;Fashion;Yes;5;2;Yes
217;Female;55;Adult;Self-employed;Home Owner;India;ASICS;109;Online;Winter;Work;Yes;1;4;Yes
218;Male;23;Youth;Student;Home Owner;Italy;Crocs;166;Online;Winter;Work;No;2;3;Yes
219;Female;43;Adult;Employed;Renter;Nigeria;Vans;245;Online;Spring;Comfort;No;5;5;Yes
220;Male;61;Youth;Student;Home Owner;Canada;ASICS;302;Retail Store;Summer;Fashion;No;2;4;Yes
221;Male;60;Youth;Employed;Homeless;France;Crocs;106;Online;Spring;Sports;Yes;1;2;Yes
222;Male;51;Adult;Employed;Home Owner;Brazil;Puma;177;Online;Spring;Fashion;No;2;2;Yes
223;Female;48;Adult;Unemployed;Renter;China;Crocs;264;Online;Autumn;Work;Yes;4;3;Yes
224;Female;42;Youth;Employed;Renter;Nigeria;ASICS;100;Retail Store;Spring;Fashion;Yes;4;2;No
225;Female;35;Youth;Employed;Renter;China;Balenciaga;416;Retail Store;Summer;Sports;Yes;4;4;No
226;Female;31;Adult;Employed;Renter;USA;ASICS;141;Online;Summer;Fashion;Yes;4;4;Yes
227;Male;24;Adult;Self-employed;Home Owner;Nigeria;Vans;332;Retail Store;Spring;Fashion;No;3;4;Yes
228;Female;27;Adult;Unemployed;Renter;UK;ASICS;54;Retail Store;Summer;Work;No;2;1;Yes
229;Male;43;Adult;Unemployed;Renter;France;Balenciaga;89;Online;Winter;Comfort;Yes;2;3;Yes
230;Male;55;Senior;Employed;Renter;China;Under Armour;299;Online;Winter;Work;No;2;2;Yes
231;Female;49;Youth;Self-employed;Home Owner;France;Crocs;140;Retail Store;Winter;Work;No;2;1;No
232;Female;49;Youth;Employed;Home Owner;Japan;Adidas;49;Online;Autumn;Fashion;Yes;5;4;Yes
233;Female;27;Adult;Unemployed;Home Owner;Japan;Vans;283;Online;Winter;Sports;Yes;3;3;Yes
234;Female;41;Youth;Unemployed;Home Owner;Italy;Adidas;162;Retail Store;Winter;Comfort;No;2;1;Yes
235;Female;62;Adult;Unemployed;Renter;Japan;New Balance;189;Online;Summer;Work;No;5;2;Yes
236;Female;55;Adult;Unemployed;Home Owner;UK;Nike;422;Online;Summer;Fashion;No;3;2;No
237;Female;38;Senior;Self-employed;Home Owner;Nigeria;Adidas;198;Retail Store;Winter;Work;No;5;5;Yes
238;Female;56;Senior;Student;Renter;China;New Balance;292;Retail Store;Spring;Sports;No;4;3;Yes
239;Male;14;Senior;Student;Renter;Germany;Balenciaga;371;Retail Store;Summer;Work;Yes;4;5;No
240;Female;32;Youth;Self-employed;Home Owner;India;Puma;240;Retail Store;Autumn;Comfort;Yes;5;4;Yes
241;Female;27;Senior;Employed;Home Owner;Nigeria;Vans;323;Retail Store;Summer;Comfort;No;2;2;Yes
242;Male;64;Youth;Unemployed;Homeless;Germany;Balenciaga;137;Online;Autumn;Fashion;No;3;4;No
243;Female;16;Adult;Unemployed;Home Owner;Germany;Balenciaga;261;Retail Store;Winter;Work;No;1;5;No
244;Male;34;Adult;Unemployed;Renter;Italy;Crocs;247;Retail Store;Winter;Comfort;Yes;5;2;Yes
245;Male;62;Youth;Self-employed;Home Owner;Nigeria;Nike;314;Online;Autumn;Work;Yes;5;3;No
246;Female;50;Adult;Self-employed;Home Owner;France;Under Armour;373;Retail Store;Autumn;Comfort;No;5;1;Yes
247;Male;35;Youth;Unemployed;Renter;Italy;New Balance;86;Retail Store;Autumn;Sports;Yes;2;4;Yes
248;Male;38;Adult;Unemployed;Renter;Germany;Puma;154;Retail Store;Summer;Sports;No;5;4;Yes
249;Male;63;Senior;Employed;Home Owner;Japan;ASICS;447;Online;Winter;Comfort;No;1;2;Yes
250;Male;23;Youth;Student;Renter;France;Adidas;223;Retail Store;Summer;Comfort;No;4;2;No
251;Female;40;Youth;Self-employed;Home Owner;Brazil;Puma;409;Retail Store;Spring;Work;No;4;5;Yes
